sitename,lon,lat,elv,year_start,year_end,classid,c4,whc,koeppen_code
AR-SLu,-66.4598,-33.4648,887,2009,2011,MF,FALSE,268.4240112,Bwk
AR-Vir,-56.1886,-28.2395,74,2009,2012,ENF,FALSE,302.4275513,Csb
AT-Neu,11.3175,47.1167,970,2002,2012,GRA,FALSE,270.0856323,Dfc
AU-Ade,131.1178,-13.0769,188,2007,2009,WSA,FALSE,269.2186584,Aw
AU-ASM,133.249,-22.283,615,2010,2013,ENF,FALSE,214.5842743,BSh
AU-Cpr,140.5891,-34.0021,51,2010,2014,SAV,FALSE,217.3112488,BSk
AU-Cum,150.7225,-33.6133,107,2012,2014,EBF,FALSE,310.8674011,Cfa
AU-DaP,131.3181,-14.0633,160,2007,2013,GRA,FALSE,294.6303406,Aw
AU-DaS,131.3881,-14.1593,160,2008,2014,SAV,FALSE,249.2509155,Aw
AU-Dry,132.3706,-15.2588,204,2008,2014,SAV,FALSE,239.1561279,Aw
AU-Emr,148.4746,-23.8587,220,2011,2013,GRA,FALSE,212.9327698,Bwk
AU-Fog,131.3072,-12.5452,90,2006,2008,WET,FALSE,321.4286194,Aw
AU-Gin,115.7138,-31.3764,127,2011,2014,WSA,FALSE,194.4478455,Csa
AU-GWW,120.6541,-30.1913,511,2013,2014,SAV,FALSE,183.3797455,Bwk
AU-How,131.1523,-12.4943,6,2001,2014,WSA,TRUE,307.5285645,Aw
AU-Lox,140.6551,-34.4704,51,2008,2009,DBF,FALSE,248.4138031,Bsh
AU-RDF,132.4776,-14.5636,187,2011,2013,WSA,FALSE,290.0407715,Bwh
AU-Rig,145.5759,-36.6499,278,2011,2014,GRA,FALSE,251.4349823,Cfb
AU-Rob,145.6301,-17.1175,492,2014,2014,EBF,FALSE,265.1673584,Csb
AU-Stp,133.3502,-17.1507,240,2008,2014,GRA,FALSE,283.4158936,BSh
AU-TTE,133.64,-22.287,609,2012,2013,OSH,FALSE,217.1057587,BWh
AU-Tum,148.1517,-35.6566,817,2001,2014,EBF,FALSE,248.4827576,Cfb
AU-Wac,145.1878,-37.4259,309,2005,2008,EBF,FALSE,163.752243,Cfb
AU-Whr,145.0294,-36.6732,164,2011,2014,EBF,FALSE,271.4973755,Cfb
AU-Wom,144.0944,-37.4222,705,2010,2012,EBF,FALSE,189.5709991,Cfb
AU-Ync,146.2907,-34.9893,133,2012,2014,GRA,FALSE,199.1587524,BSk
BE-Bra,4.5206,51.3092,16,1996,2014,MF,FALSE,85.68379974,Cfb
BE-Lon,4.7461,50.5516,167,2004,2014,CRO,FALSE,383.6510925,Cfb
BE-Vie,5.9981,50.3051,493,1996,2014,MF,FALSE,312.7651978,Cfb
BR-Sa3,-54.9714,-3.018,100,2000,2004,EBF,FALSE,207.0645142,Am
CA-Man,-98.4808,55.8796,259,1994,2008,ENF,FALSE,52.677845,Dfc
CA-NS1,-98.4839,55.8792,260,2001,2005,ENF,FALSE,50.25987625,Dfc
CA-NS2,-98.5247,55.9058,260,2001,2005,ENF,FALSE,59.02733231,Dfc
CA-NS3,-98.3822,55.9117,260,2001,2005,ENF,FALSE,115.962883,Dfc
CA-NS3,-98.3822,55.9117,260,2001,2005,ENF,FALSE,115.962883,Dfc
CA-NS4,-98.3822,55.9117,260,2002,2005,ENF,FALSE,115.962883,Dfc
CA-NS4,-98.3822,55.9117,260,2002,2005,ENF,FALSE,115.962883,Dfc
CA-NS5,-98.485,55.8631,260,2001,2005,ENF,FALSE,32.74040222,Dfc
CA-NS6,-98.9644,55.9167,244,2001,2005,OSH,FALSE,28.60806847,Dfc
CA-NS7,-99.9483,56.6358,297,2002,2005,OSH,FALSE,90.78813171,Dfc
CA-Qfo,-74.3421,49.6925,382,2003,2010,ENF,FALSE,176.8255615,Dfc
CA-SF1,-105.8176,54.485,536,2003,2006,ENF,FALSE,265.995575,Dfc
CA-SF2,-105.8775,54.2539,520,2001,2005,ENF,FALSE,286.6593018,Dfc
CA-SF3,-106.0053,54.0916,540,2001,2006,OSH,FALSE,272.6809082,Dfc
CH-Cha,8.4104,47.2102,393,2005,2014,GRA,FALSE,343.0929565,Cfb
CH-Dav,9.8559,46.8153,1639,1997,2014,ENF,FALSE,171.5249176,ET
